#Time,V_S_X,V_S_Y,V_S_R,V_S_theta,V_S_DC,T+_X,T+_Y,T+_R,T+_theta,T+_DC,T-_X,T-_Y,T-_R,T-_theta,T-_DC,Out_Amp,Out_Freq
5.0,-1.2478219995306107e-06,1.0838294971558105e-06,1.6527994800996243e-06,139.02317015122992,4.4130765600129964e-05,-7.361108976128181e-07,1.188389541139045e-06,1.3979016256779369e-06,121.77485518182775,8.906962291803211e-05,8.789437228636848e-08,-1.9699342984713874e-08,9.007488436653214e-08,-12.632666905222413,3.6575853009708225e-05,5.000000000039431,2.000000022000097
5.5,-1.2478219995306107e-06,1.0838294971558105e-06,1.6527994800996243e-06,139.02317015122992,4.4130765600129964e-05,-7.361108976128181e-07,1.188389541139045e-06,1.3979016256779369e-06,121.77485518182775,8.906962291803211e-05,8.789437228636848e-08,-1.9699342984713874e-08,9.007488436653214e-08,-12.632666905222413,3.6575853009708225e-05,5.000000000039431,2.000000022000097
6.0,-1.247577654457718e-06,1.0854347205260792e-06,1.6536682062692472e-06,138.97562889497715,4.392195434775204e-05,-7.614852928745496e-07,1.1683045189370808e-06,1.394559177745083e-06,123.09577205980568,8.92225350253284e-05,1.233115183569162e-07,-8.85858873834067e-09,1.2362930540095715e-07,-4.109018362619927,3.6850221804343163e-05,5.000000000039431,1.9999999969999867
6.5,-1.247577654457718e-06,1.0854347205260792e-06,1.6536682062692472e-06,138.97562889497715,4.392195434775204e-05,-7.614852928745496e-07,1.1683045189370808e-06,1.394559177745083e-06,123.09577205980568,8.92225350253284e-05,1.233115183569162e-07,-8.85858873834067e-09,1.2362930540095715e-07,-4.109018362619927,3.6850221804343163e-05,5.000000000039431,1.9999999969999867
7.0,-1.2463841656891518e-06,1.0868531645819488e-06,1.6536998790114365e-06,138.91141063842775,4.41293598851189e-05,-7.351259850464835e-07,1.1909251067125376e-06,1.3995402186749875e-06,121.68591586872802,8.931360789574683e-05,1.3619616797314647e-07,-3.909099342690097e-08,1.4169510202428152e-07,-16.014525821348144,3.6570669617503885e-05,5.000000000039431,1.9999999969999867
7.5,-1.2463841656891518e-06,1.0868531645819488e-06,1.6536998790114365e-06,138.91141063842775,4.41293598851189e-05,-7.351259850464835e-07,1.1909251067125376e-06,1.3995402186749875e-06,121.68591586872802,8.931360789574683e-05,1.3619616797314647e-07,-3.909099342690097e-08,1.4169510202428152e-07,-16.014525821348144,3.6570669617503885e-05,5.000000000039431,1.9999999969999867
8.0,-1.2466319942742378e-06,1.0874425403851748e-06,1.6542740425296908e-06,138.90166677416565,4.45106765255332e-05,-7.315720487411977e-07,1.2037813297749068e-06,1.4086472775020852e-06,121.28823656096212,9.020235971547663e-05,1.2739369703724702e-07,6.317360548925595e-10,1.273952633941346e-07,0.28412326403275445,3.696003928780556e-05,5.000000000039431,1.9999999969999867
8.5,-1.2466319942742378e-06,1.0874425403851748e-06,1.6542740425296908e-06,138.90166677416565,4.45106765255332e-05,-7.315720487411977e-07,1.2037813297749068e-06,1.4086472775020852e-06,121.28823656096212,9.020235971547663e-05,1.2739369703724702e-07,6.317360548925595e-10,1.273952633941346e-07,0.28412326403275445,3.696003928780556e-05,5.000000000039431,1.9999999969999867
9.0,-1.2490693370187246e-06,1.0863466750577154e-06,1.655392191321848e-06,138.98570448234722,4.455927817616612e-05,-7.599047049038721e-07,1.1966362015824904e-06,1.4175307261124223e-06,122.41693664634388,9.048844454810024e-05,1.2419419613950599e-07,-1.0193637134935937e-08,1.2461183167250543e-07,-4.6922169115706716,3.694421611726284e-05,5.000000000039431,1.9999999969999867
9.5,-1.2490693370187246e-06,1.0863466750577154e-06,1.655392191321848e-06,138.98570448234722,4.455927817616612e-05,-7.599047049038721e-07,1.1966362015824904e-06,1.4175307261124223e-06,122.41693664634388,9.048844454810024e-05,1.2419419613950599e-07,-1.0193637134935937e-08,1.2461183167250543e-07,-4.6922169115706716,3.694421611726284e-05,5.000000000039431,1.9999999969999867
